mention	theme	enonce	cle
CR	T1	Parmi les propositions suivantes, laquelle constitue une participation citoyenne ?	parmi les propositions suivantes laquelle constitue une participation citoyenne
CR	T1	Que garantit la liberté d’expression ?	que garantit la liberte d expression
CR	T1	À quoi sert un titre de séjour ?	a quoi sert un titre de sejour
CR	T1	La liberté de circulation permet à toute personne de :	la liberte de circulation permet a toute personne de
CR	T1	Sur quel site internet peut-on retrouver le symbole de la République française ?	sur quel site internet peut on retrouver le symbole de la republique francaise
CR	T1	Complétez ces paroles de la Marseillaise : "Aux armes […] ! Formez vos bataillons"	completez ces paroles de la marseillaise aux armes formez vos bataillons
CR	T1	Complétez les paroles de la Marseillaise : "Allons enfants de la patrie […]"	completez les paroles de la marseillaise allons enfants de la patrie
CR	T1	En application de la liberté individuelle, quelle proposition est correcte ? Une personne peut :	en application de la liberte individuelle quelle proposition est correcte une personne peut
CR	T1	Concernant la pratique de la religion, quelle proposition est correcte ?	concernant la pratique de la religion quelle proposition est correcte
CR	T1	En tant que parent, peut-on refuser que son enfant participe aux cours de sport à l'école car ils sont mixtes ?	en tant que parent peut on refuser que son enfant participe aux cours de sport a l ecole car ils sont mixtes
CR	T1	Quelle est la devise de la France ?	quelle est la devise de la france
CR	T1	La répudiation de sa femme est :	la repudiation de sa femme est
CR	T1	Les impôts permettent de financer les dépenses publiques. Quelle proposition est correcte ?	les impots permettent de financer les depenses publiques quelle proposition est correcte
CR	T1	Peut-on brûler publiquement un drapeau français ?	peut on bruler publiquement un drapeau francais
CR	T1	Que fait l’État pour lutter contre les discriminations ?	que fait l etat pour lutter contre les discriminations
CR	T1	Que représente Marianne ?	que represente marianne
CR	T1	Qu'est-ce que la liberté d'association ?	qu est ce que la liberte d association
CR	T1	Qu'est-ce que la liberté ?	qu est ce que la liberte
CR	T1	Qu'est-ce que la Marseillaise ?	qu est ce que la marseillaise
CR	T1	Sur quel document peut-on voir Marianne ?	sur quel document peut on voir marianne
CR	T1	Un employeur refuse d’embaucher des femmes dans son entreprise. Que dit la loi ?	un employeur refuse d embaucher des femmes dans son entreprise que dit la loi
CR	T1	Une des valeurs de la devise républicaine est l'égalité. Qu'est-ce que cela signifie ?	une des valeurs de la devise republicaine est l egalite qu est ce que cela signifie
