mention	theme	enonce	cle
CSP	T1	À quoi correspond la date du 14 juillet ?	a quoi correspond la date du 14 juillet
CSP	T1	Quel est l’un des symboles de la République française ?	quel est l un des symboles de la republique francaise
CSP	T1	Le principe d’égalité signifie que :	le principe d egalite signifie que
CSP	T1	"Liberté, égalité, fraternité", c’est :	liberte egalite fraternite c est
CSP	T1	A-t-on le droit d'insulter publiquement quelqu’un parce qu’il est différent (handicap, apparence physique, sexe…) ?	a t on le droit d insulter publiquement quelqu un parce qu il est different handicap apparence physique sexe
CSP	T1	Certains métiers peuvent-ils être réservés aux hommes ?	certains metiers peuvent ils etre reserves aux hommes
CSP	T1	De quand date la Constitution de la Ve République ?	de quand date la constitution de la ve republique
CSP	T1	Le régime de la France est :	le regime de la france est
CSP	T1	Lequel de ces symboles représente officiellement la République française ?	lequel de ces symboles represente officiellement la republique francaise
CSP	T1	Où peut-on voir la devise de la République ?	ou peut on voir la devise de la republique
CSP	T1	Quels sont des symboles officiels de la République française ?	quels sont des symboles officiels de la republique francaise
CSP	T1	Qu’est-ce que l’égalité ?	qu est ce que l egalite
CSP	T1	Que signifie la liberté ?	que signifie la liberte
CSP	T1	Que signifie le mot "fraternité" dans la devise française ?	que signifie le mot fraternite dans la devise francaise
CSP	T1	Quel animal est un symbole de la France ?	quel animal est un symbole de la france
CSP	T1	Quel est l’un des rôles des associations ?	quel est l un des roles des associations
CSP	T1	Quel est le nom de l'hymne national ?	quel est le nom de l hymne national
CSP	T1	Quel symbole de la République française est tricolore ?	quel symbole de la republique francaise est tricolore
CSP	T1	Quelle est la date de la fête nationale française ?	quelle est la date de la fete nationale francaise
CSP	T1	Quelle est la devise de la République française ?	quelle est la devise de la republique francaise
CSP	T1	Quelle est la langue officielle de la République française ?	quelle est la langue officielle de la republique francaise
CSP	T1	Quelle est la place de la langue française dans la République ?	quelle est la place de la langue francaise dans la republique
CSP	T1	Quelle liberté permet à chacun d’exprimer ses idées ?	quelle liberte permet a chacun d exprimer ses idees
CSP	T1	Quelle proposition est correcte ? La liberté d'expression :	quelle proposition est correcte la liberte d expression
CSP	T1	Quelles sont les couleurs du drapeau français ?	quelles sont les couleurs du drapeau francais
CSP	T1	Qu'est-ce que la Marseillaise ?	qu est ce que la marseillaise
